amount, slowtime, greedytime, dptime
10 , 1.117 0.00117 0.00984
11 , 1.967 0.001199 0.01065
12 , 4.241 0.001202 0.01189
13 , 7.931 0.001225 0.01196
14 , 15.672 0.001229 0.01278
15 , 32.054 0.001151 0.01366
16 , 61.709 0.001228 0.01426
17 , 124.06 0.001149 0.01555
18 , 243.982 0.00116 0.01566
19 , 480.214 0.001158 0.01667
20 , 963.19 0.001165 0.01704
21 , 1916.949 0.001166 0.01793
22 , 3838.9 0.001171 0.01869
23 , 7768.46 0.001144 0.01929
24 , 15313.587 0.001117 0.02015
25 , 30947.424 0.001178 0.02086
26 , 61082.748 0.001116 0.0214199999999
27 , 122581.667 0.00122199999998 0.0246899999999
28 , 244188.997 0.00109300000003 0.0235599999996
29 , 481349.882 0.00109200000009 0.0236599999994
30 , 971419.625 0.0010749999999 0.0254700000005
